session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_78_365_2021-05-04 21:22:55.863869,39,2-39-78-365,2021-05-04T21:23:12Z,2021-05-04T23:20:41Z,1.929,TRUE
2_39_131_30_2021-05-04 21:43:37.132676,39,2-39-131-30,2021-05-04T21:43:37Z,2021-05-04T22:30:24Z,5.154,TRUE
2_39_131_30_2021-05-05 02:22:38.257837,39,2-39-131-30,2021-05-05T02:22:45Z,2021-05-05T06:30:18Z,15.025,TRUE
2_39_81_4550_2021-05-05 02:37:17.126892,39,2-39-81-4550,2021-05-05T02:37:26Z,2021-05-05T03:11:15Z,13.006,TRUE
2_39_125_21_2021-05-05 14:34:57.915557,39,2-39-125-21,2021-05-05T14:35:11Z,2021-05-05T15:34:19Z,3.268,TRUE
2_39_131_30_2021-05-05 15:09:26.881186,39,2-39-131-30,2021-05-05T15:09:37Z,2021-05-05T19:02:07Z,2.792,TRUE
2_39_139_28_2021-05-05 15:26:18.651072,39,2-39-139-28,2021-05-05T15:26:31Z,2021-05-05T18:51:02Z,6.333,TRUE
2_39_129_17_2021-05-05 15:26:42.378791,39,2-39-129-17,2021-05-05T15:26:46Z,2021-05-06T00:08:31Z,6.129,TRUE
2_39_79_379_2021-05-05 18:16:35.691587,39,2-39-79-379,2021-05-05T18:16:41Z,2021-05-05T23:56:30Z,5.792,TRUE
2_39_139_28_2021-05-05 19:12:18.120441,39,2-39-139-28,2021-05-05T19:12:28Z,2021-05-05T22:54:19Z,0.805,TRUE
2_39_131_30_2021-05-05 20:48:02.310274,39,2-39-131-30,2021-05-05T20:48:15Z,2021-05-06T06:05:20Z,16.18,TRUE
2_39_138_29_2021-05-05 21:14:47.495869,39,2-39-138-29,2021-05-05T21:14:55Z,2021-05-06T00:05:13Z,6.272,TRUE
2_39_81_4550_2021-05-06 00:58:33.580348,39,2-39-81-4550,2021-05-06T00:58:59Z,2021-05-06T01:26:11Z,5.402,TRUE
2_39_81_4550_2021-05-06 03:50:40.029985,39,2-39-81-4550,2021-05-06T03:51:25Z,2021-05-06T04:46:04Z,37.288,TRUE
2_39_81_4550_2021-05-06 05:19:22.977919,39,2-39-81-4550,2021-05-06T05:19:40Z,2021-05-06T06:14:12Z,36.762,TRUE
2_39_131_30_2021-05-06 15:09:06.278982,39,2-39-131-30,2021-05-06T15:09:13Z,2021-05-06T18:51:17Z,12.332,TRUE
2_39_138_29_2021-05-06 15:25:23.598188,39,2-39-138-29,2021-05-06T15:25:30Z,2021-05-06T20:37:21Z,6.051,TRUE
