session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_138_29_2021-04-22 21:35:51.001425,39,2-39-138-29,2021-04-22T21:35:56Z,2021-04-23T00:03:46Z,3.308,TRUE
2_39_81_4550_2021-04-22 23:35:45.005592,39,2-39-81-4550,2021-04-22T23:35:51Z,2021-04-23T00:21:05Z,23.099,TRUE
2_39_131_30_2021-04-23 01:19:07.122925,39,2-39-131-30,2021-04-23T01:19:24Z,2021-04-23T02:58:50Z,4.178,TRUE
2_39_81_4550_2021-04-23 01:27:15.787572,39,2-39-81-4550,2021-04-23T01:27:28Z,2021-04-23T02:25:41Z,12.226,TRUE
2_39_79_378_2021-04-23 03:05:23.607692,39,2-39-79-378,2021-04-23T03:05:24Z,2021-04-23T03:41:12Z,0.829629167,
2_39_81_4550_2021-04-23 03:50:56.839779,39,2-39-81-4550,2021-04-23T03:51:05Z,2021-04-23T04:47:18Z,36.573,TRUE
2_39_131_30_2021-04-23 15:07:47.098742,39,2-39-131-30,2021-04-23T15:07:54Z,2021-04-23T20:08:14Z,8.216,TRUE
2_39_139_28_2021-04-23 15:14:36.698666,39,2-39-139-28,2021-04-23T15:14:48Z,2021-04-23T21:36:51Z,36.981,TRUE
2_39_129_17_2021-04-23 15:22:03.219443,39,2-39-129-17,2021-04-23T15:22:28Z,2021-04-23T22:57:21Z,5.326,TRUE
2_39_81_4550_2021-04-23 16:56:28.843618,39,2-39-81-4550,2021-04-23T16:56:33Z,2021-04-23T17:55:49Z,34.241,TRUE
2_39_79_379_2021-04-23 17:25:41.437127,39,2-39-79-379,2021-04-23T17:25:50Z,2021-04-24T02:05:24Z,7.42,TRUE
2_39_79_377_2021-04-23 18:55:42.429731,39,2-39-79-377,2021-04-23T18:55:59Z,2021-04-23T21:41:41Z,14.255,TRUE
2_39_125_21_2021-04-23 22:28:28.473108,39,2-39-125-21,2021-04-23T22:28:38Z,2021-04-23T23:24:31Z,3.047,TRUE
2_39_89_25_2021-04-23 22:35:27.475371,39,2-39-89-25,2021-04-23T22:35:45Z,2021-04-23T23:07:52Z,1.256,TRUE
2_39_81_4550_2021-04-23 23:58:11.625435,39,2-39-81-4550,2021-04-23T23:58:23Z,2021-04-24T00:10:29Z,8.838,TRUE
2_39_81_4550_2021-04-24 01:46:47.817307,39,2-39-81-4550,2021-04-24T01:47:04Z,2021-04-24T02:34:54Z,23.738,TRUE
2_39_81_4550_2021-04-24 03:51:13.142560,39,2-39-81-4550,2021-04-24T03:51:21Z,2021-04-24T04:40:56Z,11.674,TRUE
2_39_81_4550_2021-04-24 15:03:04.045346,39,2-39-81-4550,2021-04-24T15:03:20Z,2021-04-24T16:12:04Z,19.018,TRUE
2_39_81_4550_2021-04-24 17:18:28.146458,39,2-39-81-4550,2021-04-24T17:18:44Z,2021-04-24T18:00:52Z,23.584,TRUE
2_39_81_4550_2021-04-24 19:41:44.312539,39,2-39-81-4550,2021-04-24T19:41:47Z,2021-04-24T20:30:15Z,29.272,TRUE
2_39_125_21_2021-04-24 20:46:36.893092,39,2-39-125-21,2021-04-24T20:46:45Z,2021-04-24T21:46:55Z,2.192,TRUE
2_39_81_4550_2021-04-24 21:10:23.852661,39,2-39-81-4550,2021-04-24T21:10:52Z,2021-04-24T22:31:30Z,41.102,TRUE
2_39_81_4550_2021-04-24 22:31:35.278487,39,2-39-81-4550,2021-04-24T22:31:41Z,2021-04-24T22:56:35Z,11.958,TRUE
2_39_81_4550_2021-04-24 23:52:25.463266,39,2-39-81-4550,2021-04-24T23:52:37Z,2021-04-25T00:27:58Z,23.074,TRUE
2_39_81_4550_2021-04-25 02:12:59.656362,39,2-39-81-4550,2021-04-25T02:13:11Z,2021-04-25T03:29:11Z,11.404,TRUE
2_39_139_28_2021-04-25 03:02:06.835857,39,2-39-139-28,2021-04-25T03:02:17Z,2021-04-25T12:59:21Z,15.538,TRUE
2_39_79_383_2021-04-25 04:08:38.807894,39,2-39-79-383,2021-04-25T04:08:39Z,2021-04-25T08:56:43Z,12.281,TRUE
2_39_81_4550_2021-04-25 20:00:34.124906,39,2-39-81-4550,2021-04-25T20:00:42Z,2021-04-25T20:42:03Z,14.174,TRUE
2_39_79_379_2021-04-25 20:08:38.894681,39,2-39-79-379,2021-04-25T20:08:52Z,2021-04-25T22:08:29Z,4.53,TRUE
2_39_81_4550_2021-04-25 23:48:51.871790,39,2-39-81-4550,2021-04-25T23:49:00Z,2021-04-26T00:12:42Z,4.84,TRUE
2_39_81_4550_2021-04-26 01:18:45.054814,39,2-39-81-4550,2021-04-26T01:18:53Z,2021-04-26T01:45:27Z,10.474,TRUE
2_39_129_17_2021-04-26 14:59:55.728272,39,2-39-129-17,2021-04-26T15:00:04Z,2021-04-26T19:03:21Z,10.566,TRUE
2_39_79_380_2021-04-26 15:25:01.596578,39,2-39-79-380,2021-04-26T15:25:10Z,2021-04-26T18:34:59Z,5.84,TRUE
2_39_125_21_2021-04-26 19:12:34.800577,39,2-39-125-21,2021-04-26T19:12:43Z,2021-04-26T20:17:40Z,1.597,TRUE
2_39_138_29_2021-04-26 21:18:43.569340,39,2-39-138-29,2021-04-26T21:18:52Z,2021-04-27T00:07:40Z,6.21,TRUE
2_39_81_4550_2021-04-26 23:00:59.277084,39,2-39-81-4550,2021-04-26T23:01:07Z,2021-04-27T00:02:48Z,4.796,TRUE
2_39_91_437_2021-04-27 00:17:32.498608,39,2-39-91-437,2021-04-27T00:17:42Z,2021-04-27T15:00:19Z,28.61,TRUE
2_39_81_4550_2021-04-27 01:53:41.619149,39,2-39-81-4550,2021-04-27T01:54:01Z,2021-04-27T03:31:18Z,60.36,TRUE
2_39_81_4550_2021-04-27 04:42:36.146423,39,2-39-81-4550,2021-04-27T04:42:48Z,2021-04-27T05:42:20Z,37.064,TRUE
2_39_131_30_2021-04-27 13:57:12.702827,39,2-39-131-30,2021-04-27T13:57:24Z,2021-04-28T01:08:21Z,6.341,TRUE
2_39_79_379_2021-04-27 15:59:21.875115,39,2-39-79-379,2021-04-27T15:59:28Z,2021-04-27T22:59:38Z,33.706,TRUE
2_39_81_4550_2021-04-27 16:48:31.003450,39,2-39-81-4550,2021-04-27T16:48:40Z,2021-04-27T17:46:30Z,32.844,TRUE
2_39_79_377_2021-04-27 17:22:52.851266,39,2-39-79-377,2021-04-27T17:22:53Z,2021-04-28T01:19:35Z,9.605,TRUE
2_39_125_21_2021-04-27 21:07:58.836453,39,2-39-125-21,2021-04-27T21:08:07Z,2021-04-27T22:00:12Z,1.875,TRUE
2_39_130_31_2021-04-27 21:29:18.653323,39,2-39-130-31,2021-04-27T21:29:25Z,2021-04-28T00:06:01Z,5.084,TRUE
2_39_81_4550_2021-04-28 00:34:36.753754,39,2-39-81-4550,2021-04-28T00:34:45Z,2021-04-28T01:02:50Z,12.556,TRUE
2_39_81_4550_2021-04-28 01:04:20.400478,39,2-39-81-4550,2021-04-28T01:04:28Z,2021-04-28T01:52:07Z,17.512,TRUE
2_39_79_380_2021-04-28 15:27:31.448101,39,2-39-79-380,2021-04-28T15:27:39Z,2021-04-28T20:36:04Z,7.027,TRUE
2_39_81_4550_2021-04-28 15:30:51.831578,39,2-39-81-4550,2021-04-28T15:30:55Z,2021-04-28T16:11:53Z,16.882,TRUE
2_39_139_28_2021-04-28 15:36:22.111105,39,2-39-139-28,2021-04-28T15:36:33Z,2021-04-28T19:04:22Z,6.322,TRUE
2_39_81_4550_2021-04-28 17:54:54.502403,39,2-39-81-4550,2021-04-28T17:54:57Z,2021-04-28T18:52:57Z,15.926,TRUE
2_39_138_29_2021-04-28 18:54:27.263062,39,2-39-138-29,2021-04-28T18:54:55Z,2021-04-29T04:11:48Z,6.267,TRUE
2_39_125_21_2021-04-28 19:07:38.870005,39,2-39-125-21,2021-04-28T19:07:51Z,2021-04-28T20:03:02Z,1.653,TRUE
2_39_139_28_2021-04-28 19:19:24.910459,39,2-39-139-28,2021-04-28T19:19:36Z,2021-04-29T01:14:43Z,0.705,TRUE
2_39_81_4550_2021-04-28 21:28:34.488828,39,2-39-81-4550,2021-04-28T21:28:41Z,2021-04-28T22:38:54Z,24.326,TRUE
2_39_130_31_2021-04-28 21:31:29.295023,39,2-39-130-31,2021-04-28T21:31:36Z,2021-04-29T00:06:25Z,5.026,TRUE
2_39_81_4550_2021-04-28 23:07:26.224340,39,2-39-81-4550,2021-04-28T23:07:34Z,2021-04-28T23:37:43Z,17.606,TRUE
2_39_81_4550_2021-04-29 00:03:54.293787,39,2-39-81-4550,2021-04-29T00:03:58Z,2021-04-29T00:32:38Z,19.274,TRUE
2_39_129_17_2021-04-29 00:34:12.720455,39,2-39-129-17,2021-04-29T00:34:27Z,2021-04-29T03:15:35Z,17.566,TRUE
2_39_81_4550_2021-04-29 01:42:58.502490,39,2-39-81-4550,2021-04-29T01:43:12Z,2021-04-29T02:10:11Z,8.706,TRUE
2_39_81_4550_2021-04-29 02:36:14.417789,39,2-39-81-4550,2021-04-29T02:36:33Z,2021-04-29T05:02:50Z,67.24,TRUE
2_39_79_383_2021-04-29 04:12:40.322046,39,2-39-79-383,2021-04-29T04:12:43Z,2021-04-29T06:58:28Z,19.028,TRUE
2_39_131_30_2021-04-29 15:11:19.426026,39,2-39-131-30,2021-04-29T15:11:34Z,2021-04-29T19:00:23Z,8.774,TRUE
2_39_79_383_2021-04-29 15:59:34.524176,39,2-39-79-383,2021-04-29T15:59:36Z,2021-04-29T17:06:10Z,7.418,TRUE
2_39_79_379_2021-04-29 17:01:56.001426,39,2-39-79-379,2021-04-29T17:01:56Z,2021-04-30T01:20:47Z,9.912,TRUE
2_39_126_20_2021-04-29 17:11:30.862048,39,2-39-126-20,2021-04-29T17:11:46Z,2021-04-29T20:06:44Z,20.307,TRUE
2_39_78_365_2021-04-29 20:53:56.006795,39,2-39-78-365,2021-04-29T20:54:17Z,2021-04-30T01:27:26Z,2.203,TRUE
2_39_125_21_2021-04-29 21:12:51.379277,39,2-39-125-21,2021-04-29T21:12:59Z,2021-04-29T22:01:47Z,1.993,TRUE
2_39_138_29_2021-04-29 21:25:47.663677,39,2-39-138-29,2021-04-29T21:25:55Z,2021-04-30T00:03:40Z,6.264,TRUE
2_39_81_4550_2021-04-29 23:32:12.088687,39,2-39-81-4550,2021-04-29T23:32:16Z,2021-04-30T00:07:19Z,11.44,TRUE
2_39_81_4550_2021-04-30 04:16:49.230071,39,2-39-81-4550,2021-04-30T04:17:10Z,2021-04-30T04:46:35Z,21.016,TRUE
2_39_81_4550_2021-04-30 13:54:22.145838,39,2-39-81-4550,2021-04-30T13:54:43Z,2021-04-30T14:40:08Z,34.69,TRUE
2_39_139_28_2021-04-30 15:16:45.859463,39,2-39-139-28,2021-04-30T15:16:54Z,2021-05-01T00:11:35Z,6.326,TRUE
2_39_79_380_2021-04-30 15:30:51.585298,39,2-39-79-380,2021-04-30T15:30:58Z,2021-04-30T18:25:05Z,6.617,TRUE
2_39_78_362_2021-04-30 17:18:44.763520,39,2-39-78-362,2021-04-30T17:18:46Z,2021-04-30T21:12:53Z,5.591,TRUE
2_39_125_21_2021-04-30 18:41:44.589535,39,2-39-125-21,2021-04-30T18:41:51Z,2021-04-30T19:35:43Z,2.633,TRUE
2_39_129_17_2021-04-30 20:15:43.228020,39,2-39-129-17,2021-04-30T20:15:46Z,2021-05-01T00:04:22Z,5.975,TRUE
2_39_130_31_2021-04-30 21:11:40.753569,39,2-39-130-31,2021-04-30T21:11:47Z,2021-05-01T00:02:49Z,6.232,TRUE
2_39_89_25_2021-04-30 23:08:41.973236,39,2-39-89-25,2021-04-30T23:08:55Z,2021-05-01T01:57:23Z,1.518,TRUE
